wavelength_nm,irradiance
757.13,4.64431000E+14
757.14,4.76029000E+14
757.15,4.79003000E+14
757.16,4.78729000E+14
757.17,4.79260000E+14
757.18,4.81437000E+14
757.19,4.83895000E+14
757.20,4.85478000E+14
757.21,4.86250000E+14
757.22,4.86733000E+14
757.23,4.87197000E+14
757.24,4.87695000E+14
757.25,4.88168000E+14
757.26,4.88483000E+14
757.27,4.88591000E+14
757.28,4.88639000E+14
757.29,4.88820000E+14
757.30,4.89140000E+14
757.31,4.89396000E+14
757.32,4.89345000E+14
757.33,4.88909000E+14
757.34,4.88334000E+14
757.35,4.88068000E+14
757.36,4.88290000E+14
757.37,4.88674000E+14
757.38,4.88792000E+14
757.39,4.88621000E+14
757.40,4.88486000E+14
757.41,4.88577000E+14
757.42,4.88711000E+14
757.43,4.88624000E+14
757.44,4.88359000E+14
757.45,4.88254000E+14
757.46,4.88523000E+14
757.47,4.89000000E+14
757.48,4.89323000E+14
757.49,4.89255000E+14
757.50,4.88679000E+14
757.51,4.87230000E+14
757.52,4.84069000E+14
757.53,4.78673000E+14
757.54,4.72459000E+14
757.55,4.68735000E+14
757.56,4.69313000E+14
757.57,4.71185000E+14
757.58,4.67714000E+14
757.59,4.54068000E+14
757.60,4.33586000E+14
757.61,4.18827000E+14
757.62,4.21387000E+14
757.63,4.39548000E+14
757.64,4.60851000E+14
757.65,4.75577000E+14
757.66,4.82704000E+14
757.67,4.85459000E+14
757.68,4.86522000E+14
757.69,4.87116000E+14
757.70,4.87655000E+14
757.71,4.88058000E+14
757.72,4.87913000E+14
757.73,4.86975000E+14
757.74,4.85677000E+14
757.75,4.84945000E+14
757.76,4.85330000E+14
757.77,4.86510000E+14
757.78,4.87793000E+14
757.79,4.88777000E+14
757.80,4.89415000E+14
757.81,4.89779000E+14
757.82,4.89943000E+14
757.83,4.89973000E+14
757.84,4.89930000E+14
757.85,4.89860000E+14
757.86,4.89793000E+14
757.87,4.89726000E+14
757.88,4.89632000E+14
757.89,4.89508000E+14
757.90,4.89392000E+14
757.91,4.89286000E+14
757.92,4.89128000E+14
757.93,4.88925000E+14
757.94,4.88798000E+14
757.95,4.88808000E+14
757.96,4.88857000E+14
757.97,4.88866000E+14
757.98,4.88913000E+14
757.99,4.89089000E+14
758.00,4.89328000E+14
758.01,4.89463000E+14
758.02,4.89348000E+14
758.03,4.88868000E+14
758.04,4.87951000E+14
758.05,4.86638000E+14
758.06,4.85041000E+14
758.07,4.83304000E+14
758.08,4.81870000E+14
758.09,4.81500000E+14
758.10,4.82535000E+14
758.11,4.84383000E+14
758.12,4.86097000E+14
758.13,4.87228000E+14
758.14,4.87907000E+14
758.15,4.88366000E+14
758.16,4.88655000E+14
758.17,4.88756000E+14
758.18,4.88727000E+14
758.19,4.88661000E+14
758.20,4.88585000E+14
758.21,4.88458000E+14
758.22,4.88250000E+14
758.23,4.88028000E+14
758.24,4.87914000E+14
758.25,4.87942000E+14
758.26,4.88063000E+14
758.27,4.88289000E+14
758.28,4.88659000E+14
758.29,4.89082000E+14
758.30,4.89378000E+14
758.31,4.89437000E+14
758.32,4.89260000E+14
758.33,4.88886000E+14
758.34,4.88361000E+14
758.35,4.87718000E+14
758.36,4.86963000E+14
758.37,4.86112000E+14
758.38,4.85074000E+14
758.39,4.83368000E+14
758.40,4.80494000E+14
758.41,4.77196000E+14
758.42,4.75676000E+14
758.43,4.77378000E+14
758.44,4.81164000E+14
758.45,4.84735000E+14
758.46,4.87015000E+14
758.47,4.88267000E+14
758.48,4.88877000E+14
758.49,4.88882000E+14
758.50,4.88296000E+14
758.51,4.87454000E+14
758.52,4.86881000E+14
758.53,4.86578000E+14
758.54,4.85041000E+14
758.55,4.78614000E+14
758.56,4.62499000E+14
758.57,4.35965000E+14
758.58,4.09048000E+14
758.59,3.98877000E+14
758.60,4.13030000E+14
758.61,4.40722000E+14
758.62,4.65167000E+14
758.63,4.78980000E+14
758.64,4.84669000E+14
758.65,4.86781000E+14
758.66,4.87633000E+14
758.67,4.87849000E+14
758.68,4.87750000E+14
758.69,4.87677000E+14
758.70,4.87730000E+14
758.71,4.87749000E+14
758.72,4.87543000E+14
758.73,4.87014000E+14
758.74,4.86000000E+14
758.75,4.83954000E+14
758.76,4.79384000E+14
758.77,4.69116000E+14
758.78,4.48708000E+14
758.79,4.16792000E+14
758.80,3.82143000E+14
758.81,3.63016000E+14
758.82,3.72125000E+14
758.83,4.03120000E+14
758.84,4.37504000E+14
758.85,4.62062000E+14
758.86,4.75126000E+14
758.87,4.80858000E+14
758.88,4.83307000E+14
758.89,4.84706000E+14
758.90,4.85855000E+14
758.91,4.86839000E+14
758.92,4.87568000E+14
758.93,4.87999000E+14
758.94,4.88153000E+14
758.95,4.88107000E+14
758.96,4.87985000E+14
758.97,4.87879000E+14
758.98,4.87688000E+14
758.99,4.86957000E+14
759.00,4.84715000E+14
759.01,4.79583000E+14
759.02,4.71080000E+14
759.03,4.61885000E+14
759.04,4.57415000E+14
759.05,4.60760000E+14
759.06,4.68843000E+14
759.07,4.75636000E+14
759.08,4.78179000E+14
759.09,4.78235000E+14
759.10,4.79085000E+14
759.11,4.81875000E+14
759.12,4.85266000E+14
759.13,4.87689000E+14
759.14,4.88790000E+14
759.15,4.89026000E+14
759.16,4.88912000E+14
759.17,4.88760000E+14
759.18,4.88680000E+14
759.19,4.88656000E+14
759.20,4.88685000E+14
759.21,4.88793000E+14
759.22,4.88901000E+14
759.23,4.88809000E+14
759.24,4.88361000E+14
759.25,4.87605000E+14
759.26,4.86807000E+14
759.27,4.86312000E+14
759.28,4.86366000E+14
759.29,4.86943000E+14
759.30,4.87691000E+14
759.31,4.88143000E+14
759.32,4.88076000E+14
759.33,4.87691000E+14
759.34,4.87404000E+14
759.35,4.87384000E+14
759.36,4.87333000E+14
759.37,4.86861000E+14
759.38,4.86058000E+14
759.39,4.85502000E+14
759.40,4.85665000E+14
759.41,4.86478000E+14
759.42,4.87456000E+14
759.43,4.88123000E+14
759.44,4.88305000E+14
759.45,4.88177000E+14
759.46,4.88032000E+14
759.47,4.88001000E+14
759.48,4.88066000E+14
759.49,4.88239000E+14
759.50,4.88525000E+14
759.51,4.88800000E+14
759.52,4.88896000E+14
759.53,4.88755000E+14
759.54,4.88405000E+14
759.55,4.87792000E+14
759.56,4.86784000E+14
759.57,4.85489000E+14
759.58,4.84449000E+14
759.59,4.84217000E+14
759.60,4.84705000E+14
759.61,4.85221000E+14
759.62,4.85248000E+14
759.63,4.84987000E+14
759.64,4.84999000E+14
759.65,4.85485000E+14
759.66,4.86070000E+14
759.67,4.86226000E+14
759.68,4.85817000E+14
759.69,4.85127000E+14
759.70,4.84280000E+14
759.71,4.82867000E+14
759.72,4.80666000E+14
759.73,4.78654000E+14
759.74,4.78466000E+14
759.75,4.80610000E+14
759.76,4.83876000E+14
759.77,4.86658000E+14
759.78,4.88266000E+14
759.79,4.88933000E+14
759.80,4.89137000E+14
759.81,4.89185000E+14
759.82,4.89189000E+14
759.83,4.89162000E+14
759.84,4.89062000E+14
759.85,4.88813000E+14
759.86,4.88345000E+14
759.87,4.87681000E+14
759.88,4.87011000E+14
759.89,4.86606000E+14
759.90,4.86583000E+14
759.91,4.86707000E+14
759.92,4.86499000E+14
759.93,4.85645000E+14
759.94,4.84318000E+14
759.95,4.83108000E+14
759.96,4.82640000E+14
759.97,4.83181000E+14
759.98,4.84502000E+14
759.99,4.86079000E+14
760.00,4.87401000E+14
760.01,4.88201000E+14
760.02,4.88493000E+14
760.03,4.88453000E+14
760.04,4.88264000E+14
760.05,4.88032000E+14
760.06,4.87795000E+14
760.07,4.87561000E+14
760.08,4.87328000E+14
760.09,4.87093000E+14
760.10,4.86854000E+14
760.11,4.86607000E+14
760.12,4.86355000E+14
760.13,4.86102000E+14
760.14,4.85854000E+14
760.15,4.85614000E+14
760.16,4.85377000E+14
760.17,4.85127000E+14
760.18,4.84811000E+14
760.19,4.84278000E+14
760.20,4.83234000E+14
760.21,4.81327000E+14
760.22,4.78367000E+14
760.23,4.74490000E+14
760.24,4.70081000E+14
760.25,4.65631000E+14
760.26,4.61746000E+14
760.27,4.59168000E+14
760.28,4.58514000E+14
760.29,4.59888000E+14
760.30,4.62889000E+14
760.31,4.66946000E+14
760.32,4.71418000E+14
760.33,4.75528000E+14
760.34,4.78545000E+14
760.35,4.80160000E+14
760.36,4.80564000E+14
760.37,4.80148000E+14
760.38,4.79096000E+14
760.39,4.77255000E+14
760.40,4.74349000E+14
760.41,4.70313000E+14
760.42,4.65460000E+14
760.43,4.60430000E+14
760.44,4.56145000E+14
760.45,4.53760000E+14
760.46,4.54244000E+14
760.47,4.57699000E+14
760.48,4.63128000E+14
760.49,4.68976000E+14
760.50,4.73945000E+14
760.51,4.77517000E+14
760.52,4.79940000E+14
760.53,4.81767000E+14
760.54,4.83396000E+14
760.55,4.84939000E+14
760.56,4.86321000E+14
760.57,4.87413000E+14
760.58,4.88130000E+14
760.59,4.88505000E+14
760.60,4.88654000E+14
760.61,4.88696000E+14
760.62,4.88702000E+14
760.63,4.88696000E+14
760.64,4.88684000E+14
760.65,4.88664000E+14
760.66,4.88637000E+14
760.67,4.88604000E+14
760.68,4.88555000E+14
760.69,4.88392000E+14
760.70,4.87699000E+14
760.71,4.85466000E+14
760.72,4.80523000E+14
760.73,4.73481000E+14
760.74,4.68143000E+14
760.75,4.68632000E+14
760.76,4.74560000E+14
760.77,4.81486000E+14
760.78,4.85904000E+14
760.79,4.87379000E+14
760.80,4.86707000E+14
760.81,4.84256000E+14
760.82,4.80127000E+14
760.83,4.74896000E+14
760.84,4.69924000E+14
760.85,4.67060000E+14
760.86,4.67736000E+14
760.87,4.71872000E+14
760.88,4.77686000E+14
760.89,4.82909000E+14
760.90,4.86276000E+14
760.91,4.87877000E+14
760.92,4.88436000E+14
760.93,4.88569000E+14
760.94,4.88580000E+14
760.95,4.88570000E+14
760.96,4.88564000E+14
760.97,4.88565000E+14
760.98,4.88569000E+14
760.99,4.88574000E+14
761.00,4.88576000E+14
761.01,4.88572000E+14
761.02,4.88559000E+14
761.03,4.88541000E+14
761.04,4.88523000E+14
761.05,4.88497000E+14
761.06,4.88415000E+14
761.07,4.88157000E+14
761.08,4.87534000E+14
761.09,4.86402000E+14
761.10,4.84850000E+14
761.11,4.83304000E+14
761.12,4.82372000E+14
761.13,4.82474000E+14
761.14,4.83548000E+14
761.15,4.85084000E+14
761.16,4.86400000E+14
761.17,4.86855000E+14
761.18,4.85885000E+14
761.19,4.83095000E+14
761.20,4.78476000E+14
761.21,4.72341000E+14
761.22,4.65256000E+14
761.23,4.58759000E+14
761.24,4.55756000E+14
761.25,4.58490000E+14
761.26,4.65750000E+14
761.27,4.73452000E+14
761.28,4.78419000E+14
761.29,4.80634000E+14
761.30,4.81884000E+14
761.31,4.83415000E+14
761.32,4.85228000E+14
761.33,4.86776000E+14
761.34,4.87740000E+14
761.35,4.88185000E+14
761.36,4.88337000E+14
761.37,4.88372000E+14
761.38,4.88369000E+14
761.39,4.88353000E+14
761.40,4.88336000E+14
761.41,4.88321000E+14
761.42,4.88293000E+14
761.43,4.88199000E+14
761.44,4.87949000E+14
761.45,4.87455000E+14
761.46,4.86751000E+14
761.47,4.86069000E+14
761.48,4.85738000E+14
761.49,4.85938000E+14
761.50,4.86549000E+14
761.51,4.87260000E+14
761.52,4.87808000E+14
761.53,4.88114000E+14
761.54,4.88241000E+14
761.55,4.88276000E+14
761.56,4.88272000E+14
761.57,4.88242000E+14
761.58,4.88158000E+14
761.59,4.87938000E+14
761.60,4.87450000E+14
761.61,4.86615000E+14
761.62,4.85492000E+14
761.63,4.84219000E+14
761.64,4.82936000E+14
761.65,4.81905000E+14
761.66,4.81524000E+14
761.67,4.81956000E+14
761.68,4.82900000E+14
761.69,4.83940000E+14
761.70,4.84883000E+14
761.71,4.85706000E+14
761.72,4.86338000E+14
761.73,4.86601000E+14
761.74,4.86301000E+14
761.75,4.85306000E+14
761.76,4.83509000E+14
761.77,4.80828000E+14
761.78,4.77683000E+14
761.79,4.75495000E+14
761.80,4.75910000E+14
761.81,4.78995000E+14
761.82,4.82940000E+14
761.83,4.85867000E+14
761.84,4.87155000E+14
761.85,4.86730000E+14
761.86,4.83329000E+14
761.87,4.73239000E+14
761.88,4.51632000E+14
761.89,4.18818000E+14
761.90,3.86819000E+14
761.91,3.73929000E+14
761.92,3.87601000E+14
761.93,4.17246000E+14
761.94,4.46573000E+14
761.95,4.66985000E+14
761.96,4.78202000E+14
761.97,4.82829000E+14
761.98,4.83025000E+14
761.99,4.80237000E+14
762.00,4.76451000E+14
762.01,4.74388000E+14
762.02,4.75491000E+14
762.03,4.78631000E+14
762.04,4.81755000E+14
762.05,4.83852000E+14
762.06,4.84882000E+14
762.07,4.84928000E+14
762.08,4.83587000E+14
762.09,4.79075000E+14
762.10,4.67861000E+14
762.11,4.47840000E+14
762.12,4.24660000E+14
762.13,4.11951000E+14
762.14,4.19190000E+14
762.15,4.40888000E+14
762.16,4.63007000E+14
762.17,4.76927000E+14
762.18,4.83021000E+14
762.19,4.84999000E+14
762.20,4.85372000E+14
762.21,4.84625000E+14
762.22,4.81288000E+14
762.23,4.72197000E+14
762.24,4.55350000E+14
762.25,4.35526000E+14
762.26,4.24755000E+14
762.27,4.31534000E+14
762.28,4.50841000E+14
762.29,4.70002000E+14
762.30,4.81545000E+14
762.31,4.86193000E+14
762.32,4.87411000E+14
762.33,4.87403000E+14
762.34,4.86901000E+14
762.35,4.86141000E+14
762.36,4.85390000E+14
762.37,4.84935000E+14
762.38,4.84870000E+14
762.39,4.85032000E+14
762.40,4.85119000E+14
762.41,4.84839000E+14
762.42,4.84154000E+14
762.43,4.83519000E+14
762.44,4.83624000E+14
762.45,4.84652000E+14
762.46,4.86021000E+14
762.47,4.87045000E+14
762.48,4.87518000E+14
762.49,4.87593000E+14
762.50,4.87420000E+14
762.51,4.87044000E+14
762.52,4.86498000E+14
762.53,4.85882000E+14
762.54,4.85369000E+14
762.55,4.85142000E+14
762.56,4.85293000E+14
762.57,4.85762000E+14
762.58,4.86375000E+14
762.59,4.86945000E+14
762.60,4.87351000E+14
762.61,4.87571000E+14
762.62,4.87633000E+14
762.63,4.87492000E+14
762.64,4.86892000E+14
762.65,4.85379000E+14
762.66,4.82749000E+14
762.67,4.79762000E+14
762.68,4.78079000E+14
762.69,4.78841000E+14
762.70,4.81411000E+14
762.71,4.84042000E+14
762.72,4.85551000E+14
762.73,4.85945000E+14
762.74,4.85776000E+14
762.75,4.85456000E+14
762.76,4.85140000E+14
762.77,4.84887000E+14
762.78,4.84746000E+14
762.79,4.84729000E+14
762.80,4.84803000E+14
762.81,4.84970000E+14
762.82,4.85314000E+14
762.83,4.85881000E+14
762.84,4.86543000E+14
762.85,4.87081000E+14
762.86,4.87387000E+14
762.87,4.87512000E+14
762.88,4.87551000E+14
762.89,4.87563000E+14
762.90,4.87569000E+14
762.91,4.87570000E+14
762.92,4.87566000E+14
762.93,4.87553000E+14
762.94,4.87535000E+14
762.95,4.87520000E+14
762.96,4.87513000E+14
