wavelength_nm,reference_radiance_photons_cm2_s_sr_nm
758.5300,4.47280000e+12
758.5400,4.43290000e+12
758.5500,4.34560000e+12
758.5600,4.20110000e+12
758.5700,4.02540000e+12
758.5800,3.88030000e+12
758.5900,3.83000000e+12
758.6000,3.89760000e+12
758.6100,4.04990000e+12
758.6200,4.22070000e+12
758.6300,4.35470000e+12
758.6400,4.43380000e+12
758.6500,4.47050000e+12
758.6600,4.48460000e+12
758.6700,4.48920000e+12
758.6800,4.49030000e+12
758.6900,4.49020000e+12
758.7000,4.48940000e+12
758.7100,4.48790000e+12
758.7200,4.48460000e+12
758.7300,4.47750000e+12
758.7400,4.46270000e+12
758.7500,4.43100000e+12
758.7600,4.36540000e+12
758.7700,4.24400000e+12
758.7800,4.05600000e+12
758.7900,3.82620000e+12
758.8000,3.62100000e+12
758.8100,3.51970000e+12
758.8200,3.56570000e+12
758.8300,3.73800000e+12
758.8400,3.96470000e+12
758.8500,4.16930000e+12
758.8600,4.31090000e+12
758.8700,4.39040000e+12
758.8800,4.42940000e+12
758.8900,4.44870000e+12
758.9000,4.46010000e+12
758.9100,4.46820000e+12
758.9200,4.47390000e+12
758.9300,4.47730000e+12
758.9400,4.47850000e+12
758.9500,4.47820000e+12
758.9600,4.47670000e+12
758.9700,4.47400000e+12
758.9800,4.46790000e+12
758.9900,4.45340000e+12
759.0000,4.42380000e+12
759.0100,4.37570000e+12
759.0200,4.31610000e+12
759.0300,4.26370000e+12
759.0400,4.23920000e+12
759.0500,4.25090000e+12
759.0600,4.28810000e+12
759.0700,4.32990000e+12
759.0800,4.36060000e+12
759.0900,4.37900000e+12
759.1000,4.39360000e+12
759.1100,4.41140000e+12
759.1200,4.43180000e+12
759.1300,4.44970000e+12
759.1400,4.46080000e+12
759.1500,4.46510000e+12
759.1600,4.46500000e+12
759.1700,4.46310000e+12
759.1800,4.46100000e+12
759.1900,4.45930000e+12
759.2000,4.45810000e+12
759.2100,4.45700000e+12
759.2200,4.45520000e+12
759.2300,4.45180000e+12
759.2400,4.44620000e+12
759.2500,4.43900000e+12
759.2600,4.43190000e+12
759.2700,4.42680000e+12
759.2800,4.42500000e+12
759.2900,4.42600000e+12
759.3000,4.42790000e+12
759.3100,4.42840000e+12
759.3200,4.42650000e+12
759.3300,4.42270000e+12
759.3400,4.41810000e+12
759.3500,4.41320000e+12
759.3600,4.40750000e+12
759.3700,4.40050000e+12
759.3800,4.39300000e+12
759.3900,4.38680000e+12
759.4000,4.38370000e+12
759.4100,4.38340000e+12
759.4200,4.38420000e+12
759.4300,4.38340000e+12
759.4400,4.37960000e+12
759.4500,4.37310000e+12
759.4600,4.36480000e+12
759.4700,4.35550000e+12
759.4800,4.34550000e+12
759.4900,4.33430000e+12
759.5000,4.32030000e+12
759.5100,4.30120000e+12
759.5200,4.27320000e+12
759.5300,4.22790000e+12
759.5400,4.13680000e+12
759.5500,3.84650000e+12
759.5600,3.15110000e+12
759.5700,2.45620000e+12
759.5800,1.87440000e+12
759.5900,1.37650000e+12
759.6000,1.43790000e+12
759.6100,1.81350000e+12
759.6200,2.09110000e+12
759.6300,2.34950000e+12
759.6400,2.18460000e+12
759.6500,1.73470000e+12
759.6600,1.64560000e+12
759.6700,1.85380000e+12
759.6800,2.17370000e+12
759.6900,2.17440000e+12
759.7000,1.84530000e+12
759.7100,1.29260000e+12
759.7200,8.24680000e+11
759.7300,8.29660000e+11
759.7400,1.06470000e+12
759.7500,1.38590000e+12
759.7600,1.62420000e+12
759.7700,1.52640000e+12
759.7800,1.35100000e+12
759.7900,1.30450000e+12
759.8000,1.29570000e+12
759.8100,1.25130000e+12
759.8200,1.01840000e+12
759.8300,7.19680000e+11
759.8400,5.09370000e+11
759.8500,5.67990000e+11
759.8600,8.94240000e+11
759.8700,1.28430000e+12
759.8800,1.78910000e+12
759.8900,2.18780000e+12
759.9000,2.28270000e+12
759.9100,2.10930000e+12
759.9200,1.69300000e+12
759.9300,1.18000000e+12
759.9400,7.09640000e+11
759.9500,4.72750000e+11
759.9600,5.61340000e+11
759.9700,9.42530000e+11
759.9800,1.46010000e+12
759.9900,1.85170000e+12
760.0000,2.10250000e+12
760.0100,2.24490000e+12
760.0200,2.22800000e+12
760.0300,2.11170000e+12
760.0400,1.82400000e+12
760.0500,1.33330000e+12
760.0600,8.39670000e+11
760.0700,4.74510000e+11
760.0800,2.68340000e+11
760.0900,2.77230000e+11
760.1000,4.73700000e+11
760.1100,7.82920000e+11
760.1200,1.18350000e+12
760.1300,1.58120000e+12
760.1400,1.81810000e+12
760.1500,1.96310000e+12
760.1600,2.00260000e+12
760.1700,1.85990000e+12
760.1800,1.60230000e+12
760.1900,1.19600000e+12
760.2000,7.56010000e+11
760.2100,4.68980000e+11
760.2200,3.59870000e+11
760.2300,3.49320000e+11
760.2400,3.41840000e+11
760.2500,3.10070000e+11
760.2600,3.23820000e+11
760.2700,4.76640000e+11
760.2800,8.00410000e+11
760.2900,1.18860000e+12
760.3000,1.49030000e+12
760.3100,1.65220000e+12
760.3200,1.69650000e+12
760.3300,1.58970000e+12
760.3400,1.36400000e+12
760.3500,1.07180000e+12
760.3600,7.06540000e+11
760.3700,4.30450000e+11
760.3800,3.56530000e+11
760.3900,4.21040000e+11
760.4000,5.35440000e+11
760.4100,5.97120000e+11
760.4200,5.27880000e+11
760.4300,3.83790000e+11
760.4400,2.90660000e+11
760.4500,3.08290000e+11
760.4600,4.84560000e+11
760.4700,7.96350000e+11
760.4800,1.13000000e+12
760.4900,1.35090000e+12
760.5000,1.46590000e+12
760.5100,1.43000000e+12
760.5200,1.24300000e+12
760.5300,1.02230000e+12
760.5400,7.37340000e+11
760.5500,4.64960000e+11
760.5600,3.35420000e+11
760.5700,3.52250000e+11
760.5800,5.20270000e+11
760.5900,7.29940000e+11
760.6000,8.68330000e+11
760.6100,8.78160000e+11
760.6200,7.52380000e+11
760.6300,5.63970000e+11
760.6400,3.74160000e+11
760.6500,2.71200000e+11
760.6600,3.01640000e+11
760.6700,4.76190000e+11
760.6800,7.71420000e+11
760.6900,1.06940000e+12
760.7000,1.24050000e+12
760.7100,1.27940000e+12
760.7200,1.20380000e+12
760.7300,1.02480000e+12
760.7400,8.25930000e+11
760.7500,6.04290000e+11
760.7600,3.89420000e+11
760.7700,2.90060000e+11
760.7800,3.47290000e+11
760.7900,5.61440000e+11
760.8000,8.55580000e+11
760.8100,1.04910000e+12
760.8200,1.12260000e+12
760.8300,1.11860000e+12
760.8400,9.81430000e+11
760.8500,8.16490000e+11
760.8600,6.34030000e+11
760.8700,3.98570000e+11
760.8800,2.65850000e+11
760.8900,2.70230000e+11
760.9000,4.16380000e+11
760.9100,6.86810000e+11
760.9200,9.59730000e+11
760.9300,1.11580000e+12
760.9400,1.22870000e+12
760.9500,1.22400000e+12
760.9600,1.08690000e+12
760.9700,9.20900000e+11
760.9800,6.50240000e+11
760.9900,3.90810000e+11
761.0000,2.84880000e+11
761.0100,3.41480000e+11
761.0200,5.70830000e+11
761.0300,9.17980000e+11
761.0400,1.21980000e+12
761.0500,1.37210000e+12
761.0600,1.49810000e+12
761.0700,1.54800000e+12
761.0800,1.50620000e+12
761.0900,1.43350000e+12
761.1000,1.18690000e+12
761.1100,8.40970000e+11
761.1200,5.30220000e+11
761.1300,3.21250000e+11
761.1400,2.59340000e+11
761.1500,3.53460000e+11
761.1600,5.72400000e+11
761.1700,8.15580000e+11
761.1800,1.02710000e+12
761.1900,1.20640000e+12
761.2000,1.27420000e+12
761.2100,1.21770000e+12
761.2200,1.03550000e+12
761.2300,7.36340000e+11
761.2400,4.46320000e+11
761.2500,2.94030000e+11
761.2600,3.25000000e+11
761.2700,5.51200000e+11
761.2800,9.31430000e+11
761.2900,1.30770000e+12
761.3000,1.64150000e+12
761.3100,1.86540000e+12
761.3200,2.00740000e+12
761.3300,2.15160000e+12
761.3400,2.23720000e+12
761.3500,2.22730000e+12
761.3600,2.07380000e+12
761.3700,1.75030000e+12
761.3800,1.32660000e+12
761.3900,8.90910000e+11
761.4000,5.25520000e+11
761.4100,3.17910000e+11
761.4200,3.02980000e+11
761.4300,4.77110000e+11
761.4400,8.12110000e+11
