wavelength_nm,irradiance
756.60,4.90515000E+14
756.61,4.90627000E+14
756.62,4.90364000E+14
756.63,4.89540000E+14
756.64,4.88150000E+14
756.65,4.86766000E+14
756.66,4.86306000E+14
756.67,4.87061000E+14
756.68,4.88294000E+14
756.69,4.89070000E+14
756.70,4.89091000E+14
756.71,4.88577000E+14
756.72,4.87792000E+14
756.73,4.86881000E+14
756.74,4.85917000E+14
756.75,4.85061000E+14
756.76,4.84722000E+14
756.77,4.85281000E+14
756.78,4.86601000E+14
756.79,4.88083000E+14
756.80,4.89184000E+14
756.81,4.89677000E+14
756.82,4.89555000E+14
756.83,4.88958000E+14
756.84,4.88225000E+14
756.85,4.87738000E+14
756.86,4.87536000E+14
756.87,4.87176000E+14
756.88,4.86058000E+14
756.89,4.83800000E+14
756.90,4.80469000E+14
756.91,4.76826000E+14
756.92,4.74288000E+14
756.93,4.74082000E+14
756.94,4.76161000E+14
756.95,4.79254000E+14
756.96,4.82142000E+14
756.97,4.84505000E+14
756.98,4.86502000E+14
756.99,4.88131000E+14
757.00,4.89267000E+14
757.01,4.89899000E+14
757.02,4.90093000E+14
757.03,4.89831000E+14
757.04,4.88806000E+14
757.05,4.85954000E+14
757.06,4.78733000E+14
757.07,4.63519000E+14
757.08,4.39737000E+14
757.09,4.15774000E+14
757.10,4.06385000E+14
757.11,4.18575000E+14
757.12,4.43296000E+14
757.13,4.65324000E+14
757.14,4.76951000E+14
757.15,4.79929000E+14
757.16,4.79649000E+14
757.17,4.80177000E+14
757.18,4.82354000E+14
757.19,4.84815000E+14
757.20,4.86397000E+14
757.21,4.87167000E+14
757.22,4.87646000E+14
757.23,4.88107000E+14
757.24,4.88601000E+14
757.25,4.89071000E+14
757.26,4.89383000E+14
757.27,4.89487000E+14
757.28,4.89532000E+14
757.29,4.89709000E+14
757.30,4.90024000E+14
757.31,4.90277000E+14
757.32,4.90221000E+14
757.33,4.89778000E+14
757.34,4.89197000E+14
757.35,4.88925000E+14
757.36,4.89143000E+14
757.37,4.89523000E+14
757.38,4.89636000E+14
757.39,4.89460000E+14
757.40,4.89321000E+14
757.41,4.89406000E+14
757.42,4.89536000E+14
757.43,4.89444000E+14
757.44,4.89174000E+14
757.45,4.89065000E+14
757.46,4.89331000E+14
757.47,4.89805000E+14
757.48,4.90124000E+14
757.49,4.90051000E+14
757.50,4.89469000E+14
757.51,4.88011000E+14
757.52,4.84838000E+14
757.53,4.79423000E+14
757.54,4.73190000E+14
757.55,4.69452000E+14
757.56,4.70026000E+14
757.57,4.71898000E+14
757.58,4.68414000E+14
757.59,4.54731000E+14
757.60,4.34195000E+14
757.61,4.19396000E+14
757.62,4.21957000E+14
757.63,4.40157000E+14
757.64,4.61507000E+14
757.65,4.76265000E+14
757.66,4.83404000E+14
757.67,4.86162000E+14
757.68,4.87223000E+14
757.69,4.87813000E+14
757.70,4.88349000E+14
757.71,4.88748000E+14
757.72,4.88598000E+14
